"","COACH","2016-17_WIN","2016-17_LOSE","2016-17_W-L%","2016-17_AP Pre","2016-17_AP Post","2016-17_NCAA_NOTE","2017-18_WIN","2017-18_LOSE","2017-18_W-L%","2017-18_AP Pre","2017-18_AP Post","2017-18_NCAA_NOTE","SCHOOL_SINCE","SCHOOL_WIN","SCHOOL_LOSE","SCHOOL_W-L%","SCHOOL_NCAA","SCHOOL_S16","SCHOOL_FF","SCHOOL_CHAMP","CAREER_WIN","CAREER_LOSE","CAREER_W-L%","CAREER_NCAA","CAREER_S16","CAREER_FF","CAREER_CHAMP","RANK","SCHOOL","CONFERENCE","SCHOOL_PAY","TOTAL_PAY","MAX_BONUS","2017-18_BONUS","SCHOOL_BUYOUT","CAREER_TOTAL","SCHOOL_TOTAL"
"11","Brian Dutcher",NA,NA,NA,NA,NA,NA,22,11,0.667,NA,NA,"Lost First Round","2017-18",22,11,0.667,1,NA,NA,NA,22,11,0.667,1,NA,NA,NA,69,"San Diego State","Mt. West",755424,755424,230000,NA,3710552,33,33
"12","Bruce Pearl",18,14,0.562,NA,NA,NA,26,8,0.765,NA,19,"Lost Second Round","2014-15",70,62,0.53,1,NA,NA,NA,301,161,0.652,9,4,NA,NA,27,"Auburn","SEC",2500000,2527000,1100000,175000,2962500,462,132
"13","Bruce Weber",21,14,0.6,NA,NA,"Lost First Round",25,12,0.676,NA,NA,"Lost Regional Final","2012-13",125,80,0.61,4,1,NA,NA,438,235,0.651,12,4,1,NA,32,"Kansas State","Big 12",2250000,2250740,863000,189000,2429167,673,205
"14","Buzz Williams",22,11,0.667,NA,NA,"Lost First Round",21,12,0.636,NA,NA,"Lost First Round","2014-15",74,60,0.552,2,NA,NA,NA,227,146,0.609,7,3,NA,NA,19,"Virginia Tech","ACC",2750000,2750000,290000,55000,15417708,373,134
"15","Chris Beard",18,14,0.562,NA,NA,NA,27,10,0.73,NA,14,"Lost Regional Final","2016-17",45,24,0.652,1,1,NA,NA,75,29,0.721,2,1,NA,NA,58,"Texas Tech","Big 12",1500000,1500000,4e+05,25000,1875000,104,69
"16","Chris Collins",24,12,0.667,NA,NA,"Lost Second Round",15,17,0.469,19,NA,NA,"2013-14",88,77,0.533,1,NA,NA,NA,88,77,0.533,1,NA,NA,NA,60,"Northwestern","Big Ten",1434725,1434725,NA,NA,NA,165,165
"17","Chris Holtmann",25,9,0.735,NA,21,"Lost Regional Semifinal",25,9,0.735,NA,17,"Lost Second Round","2017-18",25,9,0.735,1,NA,NA,NA,139,94,0.597,4,1,NA,NA,3,"Ohio State","Big Ten",7149849,7149849,390000,NA,19575000,233,34
"18","Chris Jans",NA,NA,NA,NA,NA,NA,28,6,0.824,NA,NA,"Lost First Round","2017-18",28,6,0.824,1,NA,NA,NA,49,18,0.731,1,NA,NA,NA,76,"New Mexico State","WAC",250000,250000,150000,NA,1140000,67,34
"19","Chris Mack",24,14,0.632,7,NA,"Lost Regional Final",29,6,0.829,17,3,"Lost Second Round","2009-10",215,97,0.689,8,4,NA,NA,215,97,0.689,8,4,NA,NA,55,"Xavier","Big East",1668930,1668930,NA,NA,NA,312,312
"20","Cuonzo Martin",21,13,0.618,NA,NA,NA,20,13,0.606,NA,NA,"Lost First Round","2017-18",20,13,0.606,1,NA,NA,NA,206,134,0.606,3,1,NA,NA,22,"Missouri","SEC",2700000,2700000,605000,NA,NA,340,33
"21","Dana Altman",33,6,0.846,5,9,"Lost National Semifinal",23,13,0.639,NA,NA,NA,"2010-11",210,83,0.717,5,3,1,NA,620,326,0.655,13,3,1,NA,21,"Oregon","Pac-12",2700000,2700000,575000,235000,14321232,946,293
"22","Danny Manning",19,14,0.576,NA,NA,NA,11,20,0.355,NA,NA,NA,"2014-15",54,73,0.425,1,NA,NA,NA,92,102,0.474,2,NA,NA,NA,53,"Wake Forest","ACC",1748878,1748878,NA,NA,NA,194,127
"23","David Padgett",NA,NA,NA,NA,NA,NA,22,14,0.611,16,NA,NA,"2017-18",22,14,0.611,NA,NA,NA,NA,22,14,0.611,NA,NA,NA,NA,67,"Louisville","ACC",8e+05,8e+05,3e+05,NA,4e+05,36,36
"24","Ed Cooley",20,13,0.606,NA,NA,NA,21,14,0.6,NA,NA,"Lost First Round","2011-12",144,94,0.605,5,NA,NA,NA,236,163,0.591,5,NA,NA,NA,39,"Providence","Big East",2204030,2204030,NA,NA,NA,399,238
"25","Ernie Kent",13,18,0.419,NA,NA,NA,12,19,0.387,NA,NA,NA,"2014-15",47,77,0.379,NA,NA,NA,NA,372,330,0.53,6,2,NA,NA,62,"Washington State","Pac-12",1400000,1400000,325000,0,5600000,702,124
"26","Fran McCaffery",19,15,0.559,NA,NA,NA,14,19,0.424,NA,NA,NA,"2010-11",151,120,0.557,3,NA,NA,NA,402,297,0.575,8,NA,NA,NA,37,"Iowa","Big Ten",2225000,2228942,1030000,37500,10200000,699,271
"27","Frank Martin",26,11,0.703,NA,NA,"Lost National Semifinal",17,16,0.515,NA,NA,NA,"2012-13",113,90,0.557,1,1,1,NA,230,144,0.615,5,2,1,NA,17,"South Carolina","SEC",2850000,2850000,735000,272000,15500000,374,203
"28","Greg Gard",27,10,0.73,9,25,"Lost Regional Semifinal",15,18,0.455,NA,NA,NA,"2015-16",57,36,0.613,2,2,NA,NA,57,36,0.613,2,2,NA,NA,36,"Wisconsin","Big Ten",2250000,2250000,4e+05,1e+05,2500000,93,93
